Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,17.11491285,17.57719113,18.06086297,18.54756456,19.01318813,19.43626505,19.8252198,20.17477867,20.43500597,20.54200901,20.45846123,20.17534081,19.73245106,19.20431639,18.69358208,18.28601538,17.97656312,17.77491958,17.79555341,18.17981956,19.01220476,20.37039641,22.18782894,24.22663818,26.15526606,27.74049107,28.87822351,29.64973501,30.23276813,30.89612474,31.82911038,33.09589805,34.61809576,36.27251019,37.87440493,39.2952195,40.48808167,41.51048617,42.46281898,43.49295867,44.70408204,46.13150293,47.73056398,49.42803817,51.11477805,52.7120715,54.19711424,55.59599302
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,77.93718978,79.84864964,81.86591241,83.82306569,85.77094891,87.76755474,89.72722628,91.73525547,93.65934307,95.54131387,97.51813869,99.49109489,101.6159854,103.7941606,106.0010584,108.2029927,110.315146,112.5403285,114.6837956,117.8081387,119.9467883,119.2259124,118.505073,117.7841971,117.0633577,116.3424818,115.6216423,114.9007664,114.179927,113.4590511,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,6.073284657,6.244279392,6.417992728,6.595944562,6.780347561,6.972930295,7.173663372,7.382377589,7.600437495,7.829492304,8.070429602,8.323453022,8.587378135,8.859856659,9.137678756,9.418115327,9.699794688,9.981897268,10.26286119,10.5411128,10.81514733,11.08453442,11.34814295,11.603078,11.84586647,12.07427553,12.28782529,12.48792018,12.67676321,12.85757723,13.03342724,13.20526758,13.37472142,13.54646477,13.72616784,13.91827991,14.12454844,14.34538279,14.58203162,14.8353225,15.10553419,15.39271457,15.69604029,16.01355815,16.34254243,16.68025267,17.02595749,17.37771461
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,136.815,139.92,142.835,145.5,147.98,150.26,152.28,154.19,156.345,159.225,163.23,168.505,174.84,182.06,189.73,197.595,205.595,213.7,221.715,229.47,236.735,243.425,249.48,255.1,260.475,265.805,271.055,276.105,280.855,285.265,289.105,292.47,295.4,297.52,298.405,297.81,295.535,291.825,287.46,283.415,280.395,278.795,278.335,278.565,278.955,279.06,278.705,278.1
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,51.65106383,54.38085106,57.21702128,60.06808511,62.80851064,65.32978723,67.6106383,69.72553191,71.78085106,74.08085106,76.73829787,79.78723404,83.2212766,86.95106383,90.86382979,94.89361702,98.97234043,103.0957447,107.306383,111.5914894,115.9765957,120.5765957,125.293617,129.7255319,133.3553191,135.8510638,136.9361702,136.8659574,136.4723404,136.9574468,139.1276596,143.2787234,149.0404255,155.706383,162.2212766,167.8021277,172.3255319,175.9234043,178.4297872,179.7085106,179.6787234,178.1851064,175.3765957,171.8595745,168.5382979,165.9808511,164.4617021,163.8319149
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,4.724765381,4.845413492,5.012073474,5.211327505,5.423421834,5.634073955,5.839022219,6.042941365,6.249063127,6.463517286,6.690694634,6.930653726,7.181318681,7.442124007,7.712163311,7.99069303,8.277942568,8.574035454,8.877877597,9.188078126,9.503798829,9.825058956,10.15269592,10.4877268,10.83159301,11.18569503,11.55107002,11.92874789,12.32020614,12.72709473,13.1510973,13.59248656,14.05263255,14.53555707,15.04623807,15.58803401,16.16259004,16.7685594,17.40244967,18.05910083,18.73445576,19.42781824,20.13951311,20.86771477,21.61047485,22.3665525,23.13506377,23.91653806
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,145.8568182,146.2659091,145.7568182,144.6590909,143.4545455,142.4431818,141.7431818,141.2704545,140.9909091,140.8,140.6022727,140.4545455,140.4068182,140.425,140.4227273,140.4227273,140.35,140.2659091,140.3886364,140.9272727,142.1090909,144.0159091,146.525,149.4931818,152.7363636,156.0681818,159.4840909,162.9636364,166.4181818,169.7136364,172.7636364,175.4818182,177.9431818,180.2272727,182.5818182,185.1477273,187.9636364,190.9681818,194.0840909,197.15,200.0636364,202.8477273,205.475,207.9909091,210.3681818,212.65,214.8340909,216.8772727
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,8.726074565,8.864563031,9.008391524,9.155760426,9.304050514,9.4514819,9.597243751,9.742206096,9.888239808,10.03805181,10.19352868,10.3550329,10.52166961,10.69249604,10.86608019,11.04117712,11.21755259,11.39493878,11.57198989,11.74708644,11.91901567,12.08722946,12.2517808,12.41284581,12.57090573,12.72638479,12.87919859,13.02940011,13.17776548,13.325301,13.4727671,13.62070677,13.76909661,13.91749449,14.06515608,14.21166848,14.35671486,14.50083678,14.6454878,14.79261005,14.90430155,15.0771516,15.2495427,15.42116023,15.59164538,15.76063274,15.92813508,16.09419079
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,88.69223744,90.89244819,93.09750615,95.2857745,97.42704601,99.49978925,101.4955743,103.4205479,105.2833509,107.0990165,108.8779066,110.5759045,112.1773446,113.754654,115.4056551,117.1738672,119.1522304,121.2485774,123.1000702,124.2175623,124.2771689,123.1211099,120.927889,118.1281349,115.3377942,113.0083597,111.2827889,110.0487882,109.1916754,108.5009484,107.8184405,107.1544433,106.5675448,106.003934,105.3993678,104.7161574,103.9096242,103.0073059,102.1291886,101.4433439,101.0649456,101.0375132,101.3076572,101.7767475,102.2972603,102.75915,103.1312259,103.4355111
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,328.1277778,330.2222222,332.4444444,334.6833333,336.2666667,336.9833333,336.5888889,335.3666667,333.9055556,333.2222222,333.8666667,336.4833333,340.8055556,345.5611111,349.0888889,350.1444444,348.0222222,343.5166667,339.3277778,339.0666667,345.2722222,359.0111111,379.0833333,402.8,426.1111111,446.2444444,462.2222222,474.7277778,484.8722222,494.4722222,504.7388889,516.1,527.7333333,538.9833333,548.5388889,555.7277778,560.1888889,562.3444444,563.1,563.6388889,564.8277778,566.9222222,569.7777778,573.1055556,576.5222222,579.6722222,582.6222222,585.3666667
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,1.628028065,1.684000885,1.715241529,1.741665907,1.786313995,1.808442784,1.826666493,1.84736342,1.868971532,1.889277951,1.912448095,1.943037892,1.975710399,2.000572745,2.023352381,2.051208622,2.085104721,2.117061297,2.151985733,2.188719524,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.95920037,3.010573526,3.055814795,3.100112596,3.144935531,3.198361419
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,90.42245096,90.8268588,91.35627271,91.86382901,92.02031969,91.77649552,91.61449504,91.64967304,91.57550254,91.41953257,91.41962945,91.6530637,91.71881812,91.5707193,91.56495519,91.60795592,91.66619036,91.72421894,91.85416566,92.26891499,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.456383,100.7713458,101.0356656,101.2874302,101.6417364,102.1148654,102.7471302,103.5633242,104.7307927,105.8694934,106.6074453
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,62.24717305,63.50302222,64.71349604,65.888965,67.04245527,68.18478196,69.32142471,70.45594049,71.59504669,72.74523234,73.91197712,75.09660286,76.30115241,77.53306416,78.80097817,80.10919644,81.45720225,82.83750916,84.23792014,85.64212841,86.02809522,87.37397407,88.70783406,90.06572965,91.29144071,92.34891692,93.28622538,94.19048771,95.23178903,96.52076658,97.43477998,98.19378742,98.91246693,99.62372121,100.4753702,101.5225018,102.6725292,103.8533638,106.05976,108.2912879,109.5423494,110.9763389,112.4607929,113.9234754,115.3488166,116.7310795,118.033289,119.1972058
Population density (people per sq. km of land area),EN.POP.DNST,"Bahamas, The",BHS,16.92077922,17.37152847,17.76883117,18.13356643,18.49350649,18.87072927,19.27162837,19.69040959,20.12767233,20.57782218,21.03806194,21.51108891,21.9964036,22.48591409,22.96933067,23.43436563,23.87782218,24.3027972,24.72037962,25.14815185,25.5967033,26.07472527,26.57632368,27.07982018,27.55704296,27.99040959,28.36943057,28.70709291,29.03066933,29.37682318,29.77532468,30.23156843,30.73526474,31.28161838,31.85754246,32.45344655,33.07022977,33.70519481,34.33376623,34.92547453,35.45874126,35.92177822,36.32207792,36.68011988,37.02627373,37.38321678,37.75534466,38.13796204
Population density (people per sq. km of land area),EN.POP.DNST,Bahrain,BHR,308.1231884,319.2927536,332.1086957,347.1405797,365.0884058,386.2942029,411.2347826,439.384058,468.8014493,496.8101449,521.5768116,542.2028986,559.3478261,574.5710145,590.1811594,607.8666667,628.2318841,650.6826087,674.2,697.2275362,718.7405797,738.7826087,736.7408451,755.2253521,774.0605634,793.9394366,815.0225352,837.9309859,864.3661972,896.5366197,936.071831,982.4577465,1035.416901,1081.538889,1136.772603,1201.572973,1295.159459,1381.225333,1466.632895,1559.310526,1628.425262,1666.42901,1688.237662,1707.82987,1732.911837,1763.304558,1832.636175,1920.403524
Population density (people per sq. km of land area),EN.POP.DNST,Bangladesh,BGD,493.4507337,503.4311516,511.8360989,519.6092033,528.0958208,538.2676577,550.4523392,564.3664746,579.6268879,595.5984098,611.8114082,628.1594453,644.7885611,661.7691864,679.2388492,697.274203,715.8915495,734.9709073,754.2932319,773.5691557,792.5939617,811.2401245,829.5590689,847.7424829,866.0803795,884.7655374,903.8175617,923.1048936,942.4814857,961.7396558,980.7010371,999.3754475,1017.731321,1035.504364,1052.365614,1068.107129,1082.593278,1095.954337,1108.582369,1121.032473,1133.713068,1146.760221,1160.081486,1173.578213,1187.064354,1200.401598,1213.573327,1226.631274
Population density (people per sq. km of land area),EN.POP.DNST,Barbados,BRB,555.572093,558.3581395,561.6627907,565.2767442,568.9395349,572.4511628,575.7744186,578.9232558,581.8674419,584.5372093,586.9627907,589.0651163,590.8883721,592.5302326,594.1790698,595.9604651,597.9232558,600.044186,602.272093,604.5511628,606.827907,609.0813953,611.3627907,613.6604651,616.0302326,618.5,621.044186,623.6906977,626.3627907,628.955814,631.4302326,633.7209302,635.872093,637.9744186,640.1953488,642.6116279,645.2953488,648.1395349,651.0372093,653.7302326,656.1186047,658.1093023,659.7674419,661.1534884,662.3837209,663.544186,664.6418605,665.6581395
Population density (people per sq. km of land area),EN.POP.DNST,Belarus,BLR,44.56714652,44.93973575,45.30155788,45.63829619,45.935634,46.17925458,46.39617432,46.65253402,46.95819365,47.2490633,47.53993295,47.87024256,48.19562217,48.52593177,48.85624137,49.17669099,49.51193059,49.84717018,49.99014001,50.13803983,50.23170972,50.25635969,50.36481956,50.47820943,50.4190495,50.25635969,50.08873989,49.87675015,49.64011043,49.43175902,49.19941826,48.94768783,48.6394912,48.30029581,47.97665796,47.64539269,47.33821587,47.1215032,46.95901922,46.87291687,46.77468211,46.6865704,46.6438076,46.65166793,46.67867468,46.75194176,46.8083514,46.79224208
Population density (people per sq. km of land area),EN.POP.DNST,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,338.5485469,339.7149934,341.2412483,342.6728203,344.1590819,346.0573646,348.347358,350.9147952,353.6979194,356.555251,359.8278071,364.5397622,366.8075297,368.5405218,370.180218,372.3314399,374.2213342,375.6657199
Population density (people per sq. km of land area),EN.POP.DNST,Belize,BLZ,5.356510302,5.470977641,5.574309513,5.668303376,5.756554143,5.842174485,5.924901359,6.005655414,6.092284086,6.194870671,6.31981587,6.469355546,6.641823762,6.83130206,7.029679965,7.23020605,7.433932486,7.642262166,7.848662867,8.043358176,8.222358615,8.37913196,8.519245945,8.663831653,8.841736081,9.073345024,9.367119684,9.714160456,10.09399386,10.4773345,10.84239369,11.18206927,11.50276195,11.81170539,12.12205173,12.44191144,12.77198597,13.10938185,13.45124945,13.79460763,14.13695747,14.47772907,14.81806225,15.1562911,15.49171416,15.82345463,16.15081105,16.47387111
Population density (people per sq. km of land area),EN.POP.DNST,Benin,BEN,25.82777581,26.39741043,26.99154842,27.61329372,28.26722242,28.95676658,29.68404576,30.44908656,31.25166726,32.09051082,32.96528024,33.87839659,34.83251153,35.82785562,36.86430472,37.94342852,39.06089039,40.22049486,41.44068819,42.74579638,44.15125931,45.66778113,47.28452465,48.9691646,50.67594892,52.37280951,54.04628414,55.70804363,57.38085314,59.09984037,60.88995211,62.75924973,64.69842143,66.69523767,68.73008159,70.78950869,72.87067222,74.98042746,77.12771373,79.32518624,81.58264455,83.90235899,86.28279532,88.72461866,91.22775807,93.79169918,96.41776339,99.10610145
Population density (people per sq. km of land area),EN.POP.DNST,Bermuda,BMU,1018.518501,1011.111093,1003.703686,996.2962787,988.8888714,981.4814641,985.1851678,988.8888714,992.5925751,996.2962787,1012.40739,1019.444426,1026.833315,1035.740722,1044.870352,1053.666648,1062.629611,1071.277759,1080.499981,1089.648129,1098.62961,1092.981462,1085.092573,1090.925907,1098.518499,1106.407388,1113.49998,1120.314795,1128.574054,1134.907387,1145.055535,1157.481461,1165.037016,1172.685164,1180.37035,1188.037016,1194.870349,1201.629608,1208.759238,1215.48146,1205.999979,1195.629609,1199.962942,1203.722201,1206.277756,1208.129608,1195.462942,1182.851831
Population density (people per sq. km of land area),EN.POP.DNST,Bhutan,BTN,6.363375905,6.569676879,6.780986093,6.998309476,7.223102414,7.456627669,7.699099267,7.949575488,8.204225243,8.458254318,8.708238277,8.94871942,9.180361234,9.413394225,9.662821712,9.936562708,10.24531858,10.57962932,10.90555019,11.17605937,11.36065797,11.44258764,11.44010492,11.39901167,13.36424623,13.43266332,13.60464824,13.86203518,14.18032663,14.51962312,14.84977387,15.16683417,15.4778392,15.77484925,16.7593202,17.01967648,17.24716028,17.44303089,17.61977618,17.79581312,17.98418052,18.18868245,18.40603954,18.63310358,18.86444393,19.09583675,19.31388997,19.54614144
Population density (people per sq. km of land area),EN.POP.DNST,Bolivia,BOL,4.139207976,4.229428598,4.322339149,4.417911013,4.516101726,4.616836518,4.720258469,4.826227269,4.93394166,5.042388073,5.150867719,5.259019662,5.367252839,5.476608511,5.588593187,5.70429244,5.823991507,5.947411613,6.074321056,6.204297055,6.336972215,6.47230961,6.610283393,6.750530786,6.892636389,7.036220807,7.181082803,7.327109757,7.474163205,7.622141604,7.770944337,7.92046063,8.07053817,8.221012647,8.371678205,8.522390843,8.672986246,8.823445952,8.973925967,9.124693991,9.275906951,9.427632235,9.57968799,9.731723438,9.883242869,10.03390566,10.18352534,10.33218314
Population density (people per sq. km of land area),EN.POP.DNST,Bosnia and Herzegovina,BIH,73.44783203,74.32201172,75.21783203,76.11828125,76.99658203,77.83408203,78.61847656,79.35923828,80.08494141,80.83630859,81.63779297,82.47013672,83.30439453,84.13876953,84.97220703,85.78380859,86.63900391,87.49060547,88.07541016,88.0434375,87.17623047,85.33826172,82.68898438,79.66673828,76.88523438,74.78613281,73.52392578,72.97011719,72.93626953,73.11238281,73.26515625,73.34984375,73.42552734,73.47994141,73.51941406,73.54162109,73.5434375,73.49191406,73.32560547,72.96753906,72.3725,71.50732422,70.40960938,69.19150391,68.00984375,66.97970703,66.13802734,65.45951172
Population density (people per sq. km of land area),EN.POP.DNST,Botswana,BWA,1.107608561,1.140484887,1.177089619,1.217355707,1.261115522,1.308127327,1.358634623,1.412540363,1.468895241,1.52643234,1.584295873,1.641712985,1.699001288,1.757680024,1.819983061,1.887286715,1.960268558,2.037841653,2.117528629,2.195902811,2.270492121,2.340306672,2.406002859,2.468741729,2.530409542,2.592370264,2.655109135,2.718093272,2.780555114,2.841324793,2.899677095,2.954983855,3.007855593,3.060360313,3.115287703,3.174488734,3.239475588,3.309263671,3.380161629,3.446964163,3.506264006,3.556194308,3.598805428,3.639362659,3.685377517,3.742021774,3.81123992,3.89096748
Population density (people per sq. km of land area),EN.POP.DNST,Brazil,BRA,11.37971666,11.66323129,11.94756046,12.23471933,12.52745204,12.82775893,13.13580988,13.45100609,13.77353729,14.10342624,14.44029521,14.78442895,15.13474457,15.48775433,15.83887899,16.18471095,16.52388115,16.85681288,17.18414659,17.50728081,17.8273184,18.143751,18.45618523,18.76602665,19.07514303,19.3846832,19.69513408,20.00553233,20.31376,20.61686871,20.91258821,21.20041708,21.48055907,21.7523571,22.01524275,22.26896211,22.51306583,22.7479371,22.97525071,23.19732716,23.41593165,23.63139813,23.84349819,24.05270826,24.25943272,24.46378847,24.66614079,24.8660385
Population density (people per sq. km of land area),EN.POP.DNST,British Virgin Islands,VGB,65.51333333,66.78,68.05333333,69.28,70.41333333,71.32666667,72.14,72.85333333,73.63333333,74.78666667,76.52,78.84,81.66,85.01333333,88.81333333,93.04,97.66,102.7133333,107.6933333,112.4133333,116.5933333,120.04,122.92,125.24,127.16,128.7533333,130.0133333,131.1,132.14,133.5066667,135.4066667,137.8333333,140.86,144.48,148.8933333,154.0466667,160.1533333,166.98,173.98,180.26,185.2933333,188.7933333,191,192.3133333,193.26,194.3466667,195.7,197.18
Population density (people per sq. km of land area),EN.POP.DNST,Brunei Darussalam,BRN,24.57855787,25.74402277,26.94914611,28.18064516,29.42542694,30.66907021,31.91290323,33.15256167,34.38425047,35.59848197,36.78918406,37.95464896,39.10151803,40.24212524,41.39943074,42.58994307,43.81688805,45.07836812,46.37647059,47.71499051,49.09316888,50.5142315,51.97191651,53.44990512,54.92485769,56.37836812,57.80303605,59.19506641,60.55863378,61.89943074,63.21916509,64.52258065,65.80303605,67.03851992,68.20360531,69.28159393,70.25863378,71.15085389,71.99639469,72.84743833,73.74686907,74.70360531,75.70948767,76.7402277,77.75502846,78.72998102,79.65844402,80.54516129
Population density (people per sq. km of land area),EN.POP.DNST,Bulgaria,BGR,76.73844346,77.16166501,77.52146796,77.92612311,78.44838651,78.82800325,79.17019796,79.58223809,79.67126458,79.77890265,80.10065082,80.36804664,80.60613758,80.80753864,80.99682726,80.9956341,80.9741571,81.09336527,81.18454307,80.24018801,78.80583024,78.0291693,77.19573353,76.58241887,76.32279671,75.98361204,75.59275061,75.13394197,74.63424026,74.2169755,73.85132423,72.3957516,72.03272978,71.48411327,70.95310776,70.4986377,69.97166529,69.47185342,68.98592211,68.57445652,68.12453021,67.68909359,67.2981577,66.92257738,66.54327561,66.120035,65.65790346,65.18005711
Population density (people per sq. km of land area),EN.POP.DNST,Burkina Faso,BFA,20.55774854,20.9187902,21.29083699,21.67574196,22.07617325,22.49468202,22.93142178,23.38792032,23.86995249,24.3847076,24.93729167,25.53055556,26.16321272,26.83079313,27.5264693,28.24527412,28.98645468,29.7517288,30.54205044,31.35900219,32.20407164,33.0777924,33.98067617,34.91402047,35.87934211,36.87820906,37.91207968,38.98225877,40.0903655,41.23794225,42.4266886,43.65711623,44.93092105,46.25226974,47.62634868,49.0567617,50.54523392,52.09072003,53.69051535,55.34027047,57.03661184,58.77891447,60.56741959,62.40049342,64.27637792,66.19380117,68.15196637,70.15089181
Population density (people per sq. km of land area),EN.POP.DNST,Burundi,BDI,135.4779595,137.4609424,139.0056854,140.3865265,141.9949766,144.1152648,146.840771,150.0952103,153.7876168,157.7583333,161.8885514,166.1417445,170.55,175.1375779,179.9494938,185.0014408,190.2937305,195.7608255,201.2732866,206.6615654,211.797391,216.7027259,221.4005062,225.7808801,229.710553,233.1403037,235.9856308,238.4007009,240.8707944,244.0468847,248.3984034,254.1100078,261.0635903,269.048053,277.7139019,286.7936916,296.2558022,306.1609813,316.4369938,327.0119938,337.8349688,348.8475857,360.0462617,371.506581,383.3448988,395.6397975,408.4111371,421.6130841
Population density (people per sq. km of land area),EN.POP.DNST,Cabo Verde,CPV,66.65682382,67.32233251,67.45483871,67.26253102,67.05459057,67.05880893,67.33052109,67.82506203,68.52952854,69.41191067,70.43349876,71.63200993,73.01588089,74.49875931,75.96426799,77.33945409,78.56476427,79.68610422,80.83027295,82.17841191,83.85856079,85.91315136,88.27717122,90.83200993,93.40124069,95.85210918,98.1471464,100.3124069,102.360794,104.3305211,106.2501241,108.1163772,109.9133995,111.6451613,113.3044665,114.8962779,116.4193548,117.8808933,119.3156328,120.7620347,122.2466501,123.7856079,125.3684864,126.9846154,128.6027295,130.2091811,131.7980149,133.3739454
Population density (people per sq. km of land area),EN.POP.DNST,Cambodia,KHM,39.63616587,40.4466746,41.36704623,42.20053252,42.67695445,42.62659755,41.94813052,40.76615681,39.4134659,38.35483798,37.92071153,38.23842624,39.20122932,40.61860979,42.19268638,43.70541582,45.0994165,46.44279402,47.7901201,49.23710628,50.84747904,52.6246261,54.52010537,56.48500453,58.45172785,60.36787899,62.21910832,64.00747791,65.71781101,67.33774077,68.86040675,70.27763426,71.59374009,72.8311976,74.02259801,75.19461817,76.35230569,77.4980852,78.65303648,79.84140041,81.07983231,82.37833107,83.73246091,85.12537956,86.53128824,87.93018355,89.31731815,90.69461817
Population density (people per sq. km of land area),EN.POP.DNST,Cameroon,CMR,13.79230818,14.15172516,14.5272535,14.92003342,15.33135961,15.76242093,16.21375896,16.68583275,17.17984388,17.69703835,18.23825601,18.80335724,19.39205009,20.00485287,20.64234097,21.30440651,21.99124199,22.70115716,23.42963339,24.1708447,24.92032747,25.67729052,26.44221404,27.21349242,27.9896427,28.77025661,29.55472277,30.3451355,31.14757039,31.97011275,32.81915974,33.69700239,34.60388399,35.54158998,36.5114383,37.51435341,38.55148823,39.62319816,40.72828161,41.86481987,43.03112056,44.22666751,45.45126187,46.70368302,47.98260667,49.28681009,50.61568192,51.9685325
Population density (people per sq. km of land area),EN.POP.DNST,Canada,CAN,2.344969104,2.415132551,2.443331893,2.473387834,2.508159006,2.545032116,2.578741102,2.609096268,2.6351984,2.661408411,2.695952058,2.729409766,2.762073391,2.789511531,2.815970181,2.841819715,2.870209413,2.908294047,2.946249248,2.999587728,3.045153961,3.083234087,3.119946423,3.15442156,3.189160511,3.222332301,3.256192383,3.288713379,3.316120288,3.343184975,3.374464866,3.41132324,3.448622039,3.479847496,3.512467133,3.545798377,3.581804386,3.616757996,3.656136959,3.698120418,3.739467928,3.776245696,3.817472241,3.85802116,3.897002917,3.926196595,3.970907493,4.01827985
Population density (people per sq. km of land area),EN.POP.DNST,Cayman Islands,CYM,38.1,39.91666667,42.22083333,44.925,47.87916667,51.01666667,54.27083333,57.72083333,61.17916667,64.5,67.55,70.25,72.6625,75.04583333,77.79166667,81.1125,85.125,89.76666667,94.8375,100.1625,105.4666667,110.6,115.75,121.1208333,127.1416667,134.025,141.9375,150.65,159.7041667,168.4166667,176.2625,183.0625,188.9625,194.3,199.5916667,205.2541667,211.4166667,217.8333333,224.3166667,230.5083333,236.1333333,241.1583333,245.6583333,249.7166667,253.5333333,257.1833333,260.7041667,264.0916667
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,2.907226556,2.954377348,2.998141192,3.041595236,3.089004462,3.143547144,3.205582844,3.274453433,3.351091528,3.436349482,3.530379787,3.634855052,3.748648432,3.86580147,3.978268965,4.08065909,4.1698947,4.24867572,4.324333044,4.407419179,4.505335645,4.620548011,4.75013002,4.889641722,5.032288356,5.172968635,5.310335805,5.445497448,5.57881794,5.711281261,5.843569617,5.974538508,6.103130117,6.230025041,6.356343703,6.482362195,6.610274808,6.738595139,6.859555684,6.962703458,7.04158721,7.09274134,7.121279977,7.139782979,7.165839995,7.21238242,7.283840573,7.377488844
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,2.891749206,2.957292857,3.027984127,3.101499206,3.175548587,3.246953621,3.314116105,3.379326557,3.444481417,3.51234514,3.585157243,3.663317186,3.746952033,3.837611976,3.937069568,4.046538278,4.167156131,4.298639612,4.439029543,4.585387548,4.735746506,4.889675191,5.048243329,5.212771601,5.385207274,5.567141836,5.758398189,5.958936626,6.170622618,6.395756036,6.635684562,6.891717757,7.162669155,7.44434244,7.730914072,8.018291773,8.30457751,8.591188056,8.881502541,9.180548761,9.491848793,9.816541455,10.15307338,10.49906607,10.85098396,11.20630162,11.56422014,11.92564565
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,612.1060842,618.2474986,624.3131554,629.9242667,634.7576002,638.4596206,640.9192166,642.3384086,643.3838632,644.9091158,647.5353785,651.4242675,656.4596213,662.3687124,668.9192177,675.7980058,683.0757839,690.7171983,698.2070976,704.9141686,710.4596233,714.4798255,717.2020478,719.2677045,721.5303308,724.6666946,728.9646746,734.207099,739.8889174,745.2273014,749.7121501,753.0151805,755.5353826,757.9192211,761.1919485,766.0505346,772.7677065,780.9899291,790.065687,798.8788187,806.7374048,813.1212435,818.464678,823.4242742,828.7879107,835.27781,843.045487,851.8434672
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,13.15764969,13.37229142,13.58875418,13.80684163,14.02602385,14.24593233,14.46726913,14.69039468,14.91417254,15.1370439,15.35824621,15.57702091,15.79476136,16.01539611,16.24426991,16.48514857,16.73878525,17.00387269,17.27929324,17.56314113,17.85346487,18.15020394,18.4522232,18.7549916,19.05276357,19.34128645,19.61902028,19.88646,20.14403196,20.39293448,20.63442105,20.86811643,21.0944631,21.3167037,21.53904651,21.76465884,21.99569529,22.23198774,22.47147036,22.71077141,22.94795017,23.17798733,23.40228298,23.63248154,23.88459172,24.16755734,24.48995771,24.84148392
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,87.16374191,89.59124437,91.82009427,93.94083029,95.90179213,97.61084334,99.13295875,100.4931697,101.8469896,103.2146566,104.5173488,105.8647778,107.435358,108.9990147,110.4385801,111.9527068,113.6303358,115.4672063,117.3413575,119.154262,120.9155061,122.576625,124.0880888,125.522861,126.9496445,128.3366211,129.6889829,131.0231002,132.2863841,133.4367607,134.492481,135.4730462,136.3837807,137.2359222,138.0534367,138.867765,139.6453451,140.3765907,141.0977078,141.8012404,142.4877396,143.1721085,143.8713898,144.583453,145.3173521,146.0576422,146.8506776,147.6740508
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,19.36013069,19.83233889,20.2942091,20.75215593,21.2153096,21.69040739,22.17946192,22.68097792,23.19393691,23.71608292,24.24561154,24.78289049,25.32836323,25.88029743,26.43644705,26.99522397,27.55518522,28.11664083,28.6818612,29.25416764,29.83557909,30.4266219,31.02529878,31.62800811,32.22981433,32.8268932,33.41720324,34.00072105,34.57801622,35.15049211,35.71876341,36.28298062,36.8412438,37.38969716,37.92334836,38.4386868,38.93726634,39.42092474,39.88731411,40.33353222,40.75953132,41.15646598,41.5293808,41.90830735,42.33367192,42.83070482,43.41720775,44.07486796
